Date,Year,Month,Day of Month,Day of Week,Category 1,Category 2,Category 3,Category 4
1/1/19,19,1,1,1,0,9,15,36
1/10/19,19,1,10,3,2,4,14,35
1/11/19,19,1,11,4,0,7,13,53
1/12/19,19,1,12,5,1,5,5,45
1/13/19,19,1,13,6,0,7,14,27
1/14/19,19,1,14,0,1,11,23,48
1/15/19,19,1,15,1,0,3,14,30
1/16/19,19,1,16,2,1,4,18,40
1/17/19,19,1,17,3,0,6,11,51
1/18/19,19,1,18,4,0,4,13,45
1/19/19,19,1,19,5,1,2,16,46
1/2/19,19,1,2,2,0,7,13,33
1/20/19,19,1,20,6,0,2,17,30
1/21/19,19,1,21,0,0,8,16,50
1/22/19,19,1,22,1,0,3,16,51
1/23/19,19,1,23,2,0,5,14,26
1/24/19,19,1,24,3,0,6,15,31
1/25/19,19,1,25,4,0,3,24,34
1/26/19,19,1,26,5,0,7,19,33
1/27/19,19,1,27,6,0,3,5,26
1/28/19,19,1,28,0,0,6,15,30
1/29/19,19,1,29,1,0,2,20,26
1/3/19,19,1,3,3,1,5,15,42
1/30/19,19,1,30,2,0,6,20,28
1/31/19,19,1,31,3,1,6,16,30
1/4/19,19,1,4,4,1,9,11,54
1/5/19,19,1,5,5,0,8,12,35
1/6/19,19,1,6,6,0,6,10,30
1/7/19,19,1,7,0,0,10,15,42
1/8/19,19,1,8,1,0,4,17,37
1/9/19,19,1,9,2,0,11,21,48
2/1/19,19,2,1,4,1,12,17,37
2/10/19,19,2,10,6,0,5,13,29
2/11/19,19,2,11,0,0,10,16,29
2/12/19,19,2,12,1,0,4,15,41
2/13/19,19,2,13,2,0,7,19,33
2/14/19,19,2,14,3,0,7,12,29
2/15/19,19,2,15,4,0,9,15,42
2/16/19,19,2,16,5,0,3,13,44
2/17/19,19,2,17,6,1,4,12,32
2/18/19,19,2,18,0,0,7,11,35
2/19/19,19,2,19,1,0,3,12,26
2/2/19,19,2,2,5,0,6,11,60
2/20/19,19,2,20,2,0,4,11,31
2/21/19,19,2,21,3,0,4,15,28
2/22/19,19,2,22,4,1,4,25,50
2/23/19,19,2,23,5,1,2,13,40
2/24/19,19,2,24,6,1,11,9,32
2/25/19,19,2,25,0,0,6,8,35
2/26/19,19,2,26,1,1,8,10,27
2/27/19,19,2,27,2,1,10,18,31
2/28/19,19,2,28,3,0,10,10,24
2/3/19,19,2,3,6,0,11,18,35
2/4/19,19,2,4,0,0,6,14,32
2/5/19,19,2,5,1,0,15,15,35
2/6/19,19,2,6,2,0,8,9,30
2/7/19,19,2,7,3,0,6,19,24
2/8/19,19,2,8,4,0,4,12,31
2/9/19,19,2,9,5,1,5,18,35
3/1/19,19,3,1,4,0,3,16,34
3/10/19,19,3,10,6,0,12,14,20
3/11/19,19,3,11,0,1,4,7,27
3/12/19,19,3,12,1,0,5,12,25
3/13/19,19,3,13,2,1,5,15,30
3/14/19,19,3,14,3,0,5,11,23
3/15/19,19,3,15,4,0,2,16,33
3/16/19,19,3,16,5,0,5,4,36
3/17/19,19,3,17,6,0,3,8,27
3/18/19,19,3,18,0,2,5,8,33
3/19/19,19,3,19,1,0,2,8,25
3/2/19,19,3,2,5,0,5,8,38
3/20/19,19,3,20,2,1,10,12,26
3/21/19,19,3,21,3,0,9,5,33
3/22/19,19,3,22,4,0,9,11,33
3/23/19,19,3,23,5,0,11,18,33
3/24/19,19,3,24,6,0,5,12,35
3/25/19,19,3,25,0,0,5,9,24
3/26/19,19,3,26,1,0,9,11,31
3/27/19,19,3,27,2,0,7,15,38
3/28/19,19,3,28,3,0,10,12,36
3/29/19,19,3,29,4,1,11,15,34
3/3/19,19,3,3,6,0,9,6,23
3/30/19,19,3,30,5,1,7,16,36
3/31/19,19,3,31,6,1,6,16,29
3/4/19,19,3,4,0,0,4,10,26
3/5/19,19,3,5,1,0,1,13,29
3/6/19,19,3,6,2,0,8,8,17
3/7/19,19,3,7,3,1,2,14,22
3/8/19,19,3,8,4,0,11,13,32
3/9/19,19,3,9,5,0,7,11,29
4/1/19,19,4,1,0,0,3,18,37
4/10/19,19,4,10,2,0,3,10,33
4/11/19,19,4,11,3,0,6,16,27
4/12/19,19,4,12,4,0,5,11,33
4/13/19,19,4,13,5,0,12,20,34
4/14/19,19,4,14,6,0,7,14,31
4/15/19,19,4,15,0,0,6,14,30
4/16/19,19,4,16,1,0,8,17,25
4/17/19,19,4,17,2,0,5,14,29
4/18/19,19,4,18,3,0,5,21,38
4/19/19,19,4,19,4,0,11,12,43
4/2/19,19,4,2,1,0,7,15,35
4/20/19,19,4,20,5,0,5,10,37
4/21/19,19,4,21,6,0,8,12,30
4/22/19,19,4,22,0,0,6,12,37
4/23/19,19,4,23,1,1,3,10,38
4/24/19,19,4,24,2,0,8,9,30
4/25/19,19,4,25,3,0,10,20,40
4/26/19,19,4,26,4,0,14,12,36
4/27/19,19,4,27,5,0,11,14,46
4/28/19,19,4,28,6,1,10,19,36
4/29/19,19,4,29,0,0,10,16,39
4/3/19,19,4,3,2,0,9,13,46
4/30/19,19,4,30,1,0,5,14,35
4/4/19,19,4,4,3,0,10,13,33
4/5/19,19,4,5,4,0,7,13,33
4/6/19,19,4,6,5,1,11,15,38
4/7/19,19,4,7,6,3,4,7,24
4/8/19,19,4,8,0,1,13,6,26
4/9/19,19,4,9,1,0,8,14,36
5/1/19,19,5,1,2,0,16,5,49
5/10/19,19,5,10,4,0,9,23,42
5/11/19,19,5,11,5,1,11,15,44
5/12/19,19,5,12,6,0,9,19,37
5/13/19,19,5,13,0,0,16,13,60
5/14/19,19,5,14,1,0,8,14,50
5/15/19,19,5,15,2,0,12,17,37
5/16/19,19,5,16,3,0,7,14,36
5/17/19,19,5,17,4,0,7,23,48
5/18/19,19,5,18,5,1,10,12,41
5/19/19,19,5,19,6,0,12,11,51
5/2/19,19,5,2,3,1,11,14,38
5/20/19,19,5,20,0,0,9,23,33
5/21/19,19,5,21,1,0,6,24,51
5/22/19,19,5,22,2,0,10,15,40
5/23/19,19,5,23,3,0,7,16,36
5/24/19,19,5,24,4,0,8,14,48
5/25/19,19,5,25,5,1,10,20,49
5/26/19,19,5,26,6,0,12,21,34
5/27/19,19,5,27,0,0,11,16,43
5/28/19,19,5,28,1,1,8,22,41
5/29/19,19,5,29,2,0,7,19,46
5/3/19,19,5,3,4,1,12,14,39
5/30/19,19,5,30,3,0,10,19,47
5/31/19,19,5,31,4,0,10,23,40
5/4/19,19,5,4,5,0,11,12,37
5/5/19,19,5,5,6,0,11,19,40
5/6/19,19,5,6,0,0,3,21,46
5/7/19,19,5,7,1,0,5,20,26
5/8/19,19,5,8,2,0,9,14,42
5/9/19,19,5,9,3,0,4,21,40
6/1/19,19,6,1,5,1,10,15,42
6/10/19,19,6,10,0,0,10,16,46
6/11/19,19,6,11,1,0,7,16,24
6/12/19,19,6,12,2,1,6,13,47
6/13/19,19,6,13,3,0,5,11,50
6/14/19,19,6,14,4,0,9,16,51
6/15/19,19,6,15,5,0,10,11,51
6/16/19,19,6,16,6,1,18,13,54
6/17/19,19,6,17,0,0,6,17,33
6/18/19,19,6,18,1,0,5,17,37
6/19/19,19,6,19,2,1,13,24,42
6/2/19,19,6,2,6,0,15,11,34
6/20/19,19,6,20,3,0,8,14,43
6/21/19,19,6,21,4,0,7,13,51
6/22/19,19,6,22,5,0,13,12,40
6/23/19,19,6,23,6,0,4,19,50
6/24/19,19,6,24,0,0,15,9,43
6/25/19,19,6,25,1,0,10,7,46
6/26/19,19,6,26,2,1,9,11,60
6/27/19,19,6,27,3,0,12,13,40
6/28/19,19,6,28,4,0,7,15,27
6/29/19,19,6,29,5,0,8,14,36
6/3/19,19,6,3,0,0,9,16,44
6/30/19,19,6,30,6,0,9,11,34
6/4/19,19,6,4,1,0,9,9,32
6/5/19,19,6,5,2,0,10,14,43
6/6/19,19,6,6,3,0,4,16,44
6/7/19,19,6,7,4,0,7,18,37
6/8/19,19,6,8,5,1,3,11,46
6/9/19,19,6,9,6,1,11,15,40
7/1/19,19,7,1,0,0,5,17,48
7/10/19,19,7,10,2,1,11,19,51
7/11/19,19,7,11,3,0,11,19,41
7/12/19,19,7,12,4,1,5,17,45
7/13/19,19,7,13,5,0,10,23,36
7/14/19,19,7,14,6,0,10,10,42
7/15/19,19,7,15,0,0,12,10,47
7/16/19,19,7,16,1,1,11,18,53
7/17/19,19,7,17,2,0,6,15,46
7/18/19,19,7,18,3,0,10,19,38
7/19/19,19,7,19,4,0,11,20,40
7/2/19,19,7,2,1,0,4,10,37
7/20/19,19,7,20,5,0,4,23,41
7/21/19,19,7,21,6,1,7,20,38
7/22/19,19,7,22,0,2,11,16,53
7/23/19,19,7,23,1,0,7,13,32
7/24/19,19,7,24,2,2,8,11,46
7/25/19,19,7,25,3,0,5,13,36
7/26/19,19,7,26,4,0,6,16,61
7/27/19,19,7,27,5,0,8,16,53
7/28/19,19,7,28,6,0,11,15,49
7/29/19,19,7,29,0,0,2,17,54
7/3/19,19,7,3,2,0,7,18,41
7/30/19,19,7,30,1,0,6,10,41
7/31/19,19,7,31,2,0,7,18,53
7/4/19,19,7,4,3,0,10,11,35
7/5/19,19,7,5,4,0,9,12,44
7/6/19,19,7,6,5,0,8,20,40
7/7/19,19,7,7,6,0,6,20,51
7/8/19,19,7,8,0,0,9,21,51
7/9/19,19,7,9,1,0,6,22,37
8/1/19,19,8,1,3,0,7,17,43
8/10/19,19,8,10,5,0,10,19,34
8/11/19,19,8,11,6,1,8,17,41
8/12/19,19,8,12,0,0,8,10,57
8/13/19,19,8,13,1,1,8,17,48
8/14/19,19,8,14,2,0,9,18,39
8/15/19,19,8,15,3,0,1,15,56
8/16/19,19,8,16,4,0,7,17,51
8/17/19,19,8,17,5,0,10,17,49
8/18/19,19,8,18,6,0,6,9,41
8/19/19,19,8,19,0,1,9,14,39
8/2/19,19,8,2,4,0,6,16,45
8/20/19,19,8,20,1,0,6,6,39
8/21/19,19,8,21,2,2,9,15,29
8/22/19,19,8,22,3,0,8,10,41
8/23/19,19,8,23,4,0,6,10,49
8/24/19,19,8,24,5,0,13,12,47
8/25/19,19,8,25,6,0,7,13,40
8/26/19,19,8,26,0,0,3,9,46
8/27/19,19,8,27,1,0,2,13,44
8/28/19,19,8,28,2,1,4,15,35
8/29/19,19,8,29,3,1,10,11,43
8/3/19,19,8,3,5,0,2,16,51
8/30/19,19,8,30,4,1,9,14,43
8/31/19,19,8,31,5,0,9,23,43
8/4/19,19,8,4,6,1,12,16,45
8/5/19,19,8,5,0,0,7,11,47
8/6/19,19,8,6,1,0,9,14,46
8/7/19,19,8,7,2,0,8,14,53
8/8/19,19,8,8,3,1,5,18,41
8/9/19,19,8,9,4,0,7,22,54
9/1/19,19,9,1,6,0,5,16,45
9/10/19,19,9,10,1,0,9,11,28
9/11/19,19,9,11,2,0,6,22,52
9/12/19,19,9,12,3,0,5,16,50
9/13/19,19,9,13,4,0,8,9,45
9/14/19,19,9,14,5,0,7,16,38
9/15/19,19,9,15,6,0,9,12,43
9/16/19,19,9,16,0,0,4,7,38
9/17/19,19,9,17,1,0,9,16,36
9/18/19,19,9,18,2,0,4,14,51
9/19/19,19,9,19,3,0,4,12,43
9/2/19,19,9,2,0,0,6,12,40
9/20/19,19,9,20,4,1,7,18,60
9/21/19,19,9,21,5,0,9,13,57
9/22/19,19,9,22,6,0,11,14,48
9/23/19,19,9,23,0,0,0,3,10
9/3/19,19,9,3,1,0,7,10,30
9/4/19,19,9,4,2,0,6,14,43
9/5/19,19,9,5,3,0,9,12,51
9/6/19,19,9,6,4,1,10,16,54
9/7/19,19,9,7,5,0,6,17,50
9/8/19,19,9,8,6,1,4,10,34
9/9/19,19,9,9,0,0,4,14,43
